1	48	161
1	49	162
1	50	163
1	51	164
1	52	165
1	53	166
1	54	167
2	64	0
2	65	1
2	66	2
2	67	3
2	68	4
2	69	5
2	70	6
2	71	7
2	72	0
2	73	1
2	74	2
2	75	3
2	76	4
2	77	5
2	78	6
2	79	7
3	80	0
3	81	1
3	82	2
3	83	3
3	84	4
3	85	5
3	86	6
3	87	7
3	88	0
3	89	1
3	90	2
3	91	3
3	92	4
3	93	5
3	94	6
3	95	7
4	96	0
4	97	1
4	98	2
4	99	3
4	100	4
4	101	5
4	102	6
4	103	7
5	112	0
5	113	1
5	114	2
5	115	3
5	116	4
5	117	5
5	118	6
5	119	7
6	128	0
6	129	1
6	130	2
6	131	3
6	132	4
6	133	5
6	134	6
6	135	7
7	144	0
7	145	1
7	146	2
7	147	3
7	148	4
7	149	5
7	150	6
7	151	7
7	152	0
7	153	1
7	154	2
7	155	3
7	156	4
7	157	5
7	158	6
7	159	7
8	160	100
8	161	33
8	162	69
8	163	1
8	164	7
8	165	9
8	166	11
8	167	1
8	168	44
8	169	36
8	170	2
9	176	1
9	177	0
9	178	1
9	179	15
9	180	15
9	181	10
9	182	10
9	183	120
10	192	170
10	193	170
10	194	170
10	195	170
10	196	170
10	197	170
10	198	170
10	199	170
11	55	168
11	56	169
11	57	170
11	58	171
11	59	172
11	60	173
11	61	174
11	62	175
11	63	176
12	136	170
12	137	170
12	138	170
12	139	170
12	140	170
12	141	170
12	142	170
12	143	170
13	184	1
13	185	254
13	186	46
13	187	124
13	188	236
13	189	121
13	190	0
13	191	0
14	200	255
14	201	0
14	202	15
14	203	5
14	204	22
14	205	6
14	206	0
14	207	0
15	121	85
15	122	170
